source_snr_db,single_source_acc_percent,single_raw_acc_percent,single_guard_acc_percent,four_source_acc_percent,four_raw_acc_percent,four_guard_acc_percent
-20,4.536946614583333,4.377237955729167,4.180908203125,4.78515625,4.280598958333333,4.0771484375
-18,4.679361979166667,4.530843098958333,4.108683268229167,5.122884114583333,4.935709635416667,4.117838541666667
-16,5.382283528645833,5.025227864583333,4.2449951171875,6.73828125,5.330403645833333,4.19921875
-14,6.866455078125,6.120808919270833,4.390462239583333,9.859212239583334,7.21435546875,4.349772135416667
-12,9.897867838541666,8.838907877604166,4.730224609375,13.362630208333334,11.53564453125,4.268391927083333
-10,14.641316731770834,13.3331298828125,6.171671549479167,18.733723958333332,16.805013020833332,6.038411458333333
-8,21.378580729166668,20.0592041015625,10.219319661458334,26.350911458333332,24.458821614583332,9.440104166666666
-6,29.1107177734375,27.583821614583332,17.270914713541668,35.042317708333336,31.498209635416668,17.264811197916668
-4,37.116495768229164,34.877522786458336,27.001953125,44.246419270833336,38.224283854166664,27.852376302083332
-2,47.30224609375,44.513956705729164,38.199869791666664,58.577473958333336,51.5869140625,39.9169921875
0,57.855224609375,52.166748046875,51.496378580729164,68.50992838541667,57.523600260416664,53.645833333333336
2,68.4478759765625,60.555013020833336,63.962809244791664,81.40869140625,68.02164713541667,70.08870442708333
4,81.06486002604167,67.17325846354167,78.78011067708333,92.02880859375,74.658203125,85.45328776041667
6,90.65450032552083,74.55952962239583,88.87837727864583,98.39274088541667,82.01904296875,95.07242838541667
8,94.24336751302083,76.35904947916667,93.37666829427083,99.5361328125,83.43098958333333,97.98583984375
10,95.0408935546875,77.37528483072917,94.37255859375,99.5361328125,84.619140625,98.4375
12,95.38065592447917,78.11787923177083,94.69401041666667,99.56868489583333,85.45328776041667,98.53515625
14,95.2728271484375,78.40067545572917,94.76725260416667,99.50764973958333,86.01888020833333,98.47412109375
16,95.28299967447917,79.3212890625,94.83642578125,99.54833984375,87.07275390625,98.40087890625
18,95.36336263020833,79.27144368489583,94.85371907552083,99.45475260416667,86.73502604166667,98.33577473958333
20,95.3582763671875,79.26432291666667,94.74283854166667,99.54427083333333,87.09309895833333,98.29508463541667
22,95.3399658203125,79.2694091796875,94.92289225260417,99.5361328125,87.19075520833333,98.52701822916667
24,95.34098307291667,78.19315592447917,94.81913248697917,99.49951171875,85.82356770833333,98.27473958333333
26,95.41015625,78.3538818359375,94.775390625,99.60530598958333,86.14501953125,98.33984375
28,95.33487955729167,78.44034830729167,94.71333821614583,99.52392578125,86.31184895833333,98.51481119791667
30,95.294189453125,78.3782958984375,91.28926595052083,99.52392578125,86.23453776041667,95.73160807291667
