true_class / predicted_class,OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,64APSK,128APSK,16QAM,32QAM,64QAM,128QAM,256QAM,AM-SSB-WC,AM-SSB-SC,AM-DSB-WC,AM-DSB-SC,FM,GMSK,OQPSK
OOK,82883,644,31,852,200,193,346,1102,354,2869,496,3051,56,91,2441,186,2960,3,4,53,13,32,1900,5736
4ASK,11188,66286,6646,741,183,169,341,1058,292,2731,535,2815,69,98,2317,148,2804,183,24,66,13,40,1924,5825
8ASK,9576,8245,66420,733,179,153,365,1080,330,2719,499,2794,72,119,2422,145,2661,269,153,54,9,19,1791,5689
BPSK,163,0,8,73642,483,391,165,1179,238,5740,573,5468,205,248,2862,237,3892,1,2,61,16,24,2520,8378
QPSK,65,2,14,608,65963,1146,403,1857,3217,6457,1051,6284,633,840,4148,585,4019,62,0,76,13,27,2467,6559
8PSK,77,2,11,597,982,62229,1599,3821,3951,6543,1142,6151,479,988,4069,691,4018,3,2,87,17,39,2554,6444
16PSK,60,2,12,610,905,2534,55763,9042,4186,6367,1121,6115,515,1035,4101,749,4079,1,0,79,13,34,2591,6582
32PSK,59,1,15,570,954,2580,3601,61402,3946,6531,1092,6462,541,919,3876,677,3982,5,2,69,18,39,2500,6655
16APSK,49,0,6,619,535,551,169,1385,62909,7331,2247,7171,1450,2612,4368,1046,4270,300,1,81,11,47,2716,6622
32APSK,54,2,5,542,333,382,156,1280,681,69002,1914,11091,412,1448,4210,760,5162,4,86,64,19,42,2487,6360
64APSK,51,1,2,546,416,468,168,1329,1120,8453,57669,11228,909,2251,5007,2635,5188,34,2,51,10,22,2412,6524
128APSK,75,1,10,605,380,406,169,1339,855,9264,3630,66218,684,1348,4655,2132,5929,4,5,113,15,43,2425,6191
16QAM,57,1,2,569,425,443,186,1359,1329,8189,2055,8508,59828,1530,5781,1583,5655,3,0,63,11,33,2399,6487
32QAM,60,1,2,574,388,463,169,1300,1320,8299,3294,9283,1064,56652,5154,4145,5308,5,10,66,20,52,2471,6396
64QAM,59,1,9,613,429,394,167,1268,869,8758,2188,9481,1143,1458,54776,4161,11789,4,46,95,33,49,2376,6330
128QAM,51,2,7,604,394,441,161,1400,1132,8514,3303,9745,1054,2710,5884,54789,7385,1,7,74,25,28,2436,6349
256QAM,71,2,10,561,374,393,184,1355,851,8909,1789,9499,980,1359,9587,7986,53519,3,30,65,27,52,2446,6444
AM-SSB-WC,6408,2563,3488,630,339,121,325,1089,293,2536,489,2696,58,83,2229,143,2831,53804,18698,49,13,34,1997,5580
AM-SSB-SC,6364,2589,3599,641,358,140,343,1078,299,2736,487,2773,48,74,2234,167,2674,21081,51347,58,18,31,1830,5527
AM-DSB-WC,62,2,9,1447,230,251,105,1193,208,5700,474,4817,69,268,2142,181,3992,0,0,66387,9730,202,2195,6832
AM-DSB-SC,60,0,4,1474,229,240,118,1182,212,5953,515,4838,54,270,2151,159,4063,0,0,29223,46852,215,2216,6468
FM,47,2,9,523,353,320,120,1305,244,5462,610,4826,148,503,2204,200,4488,333,30,123,40,76109,2248,6249
GMSK,70,0,12,582,790,1163,197,1709,1423,5668,753,6461,297,977,3334,476,3671,1,3,75,20,43,72490,6281
OQPSK,61,0,12,688,490,506,183,1349,1511,7273,1360,6448,691,1090,4478,716,4201,9,1,80,23,50,2462,72814
