true_class / predicted_class,OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,64APSK,128APSK,16QAM,32QAM,64QAM,128QAM,256QAM,AM-SSB-WC,AM-SSB-SC,AM-DSB-WC,AM-DSB-SC,FM,GMSK,OQPSK
OOK,85371,3110,1983,1473,517,176,524,263,187,637,66,416,62,91,1333,224,291,1113,577,2555,580,1500,1072,2375
4ASK,10607,56181,22002,1401,566,166,490,212,215,690,65,357,55,105,1315,217,306,2601,1096,2544,558,1429,956,2362
8ASK,8516,8406,67515,1386,634,163,498,251,406,642,47,352,68,106,1271,190,262,6234,1876,2501,588,1414,957,2213
BPSK,1732,66,825,81953,886,297,593,403,238,1607,89,863,91,161,2132,287,474,358,193,4103,879,2054,1858,4354
QPSK,1759,50,877,2628,69357,1315,815,1728,963,2609,296,2436,148,455,2999,493,938,583,203,4162,851,2174,3167,5490
8PSK,1788,52,846,2621,2956,64709,1302,4342,1093,2422,329,2389,171,479,2943,525,970,361,197,4109,831,2213,3233,5615
16PSK,1788,38,822,2698,2853,5262,57558,7689,1137,2384,342,2301,161,469,2867,497,992,389,200,4271,880,2164,3150,5584
32PSK,1759,53,843,2642,2891,5280,10718,54302,1094,2514,296,2389,151,467,2861,485,998,389,205,4248,871,2159,3231,5650
16APSK,1661,42,887,2722,2067,1565,945,1983,65735,2995,642,2971,342,955,3092,570,987,378,199,4274,896,2145,2864,5579
32APSK,1647,43,823,2584,1194,509,663,826,1784,64852,2050,5880,446,1682,3459,581,1288,475,193,4269,858,2133,2747,5510
64APSK,1735,48,808,2599,1458,804,703,1080,5367,4197,54188,7117,748,4094,3596,657,1130,415,213,4124,828,2180,2834,5573
128APSK,1758,79,825,2628,1263,662,688,955,2736,5578,25185,38905,704,2857,3706,748,1323,391,182,4120,789,2140,2805,5469
16QAM,1647,58,874,2665,1547,821,737,1107,7035,3442,2177,3977,56441,2152,3595,709,1237,373,190,4274,866,2105,2858,5609
32QAM,1685,50,871,2677,1484,878,757,1123,7284,4482,12249,7495,832,42991,3541,688,1128,389,189,4214,846,2088,2850,5705
64QAM,1673,44,862,2603,1440,730,666,938,3378,3974,13154,12896,5896,14883,15244,8719,3248,364,175,4144,889,2131,2884,5561
128QAM,1643,55,845,2586,1518,821,719,1111,5256,3884,29497,11528,2233,18883,4104,4208,1361,399,194,4154,828,2222,2798,5649
256QAM,1816,49,807,2687,1344,736,711,991,2927,4000,10728,16222,5667,11496,14523,9744,6079,368,181,4165,843,2142,2832,5438
AM-SSB-WC,6252,2026,3160,1369,511,174,503,224,174,586,47,352,87,93,1231,202,258,74732,6919,2439,605,1481,956,2115
AM-SSB-SC,6368,1940,3064,1307,557,161,522,236,171,620,58,367,60,88,1338,198,290,40226,41403,2489,590,1411,1001,2031
AM-DSB-WC,1264,38,635,1783,620,183,421,303,189,1188,67,448,66,112,1306,232,255,328,130,85215,5333,2568,1089,2723
AM-DSB-SC,1202,34,664,1802,632,166,414,283,159,1210,63,460,58,114,1370,185,254,326,137,67070,23567,2555,1133,2638
FM,1214,50,721,1662,645,175,422,301,180,1249,62,422,77,131,1302,267,272,6783,122,5265,1001,80360,1077,2736
GMSK,1753,49,960,2706,981,417,715,808,356,1974,149,2087,105,316,2551,373,676,367,207,4211,926,2201,76742,4866
OQPSK,1722,50,870,2662,1891,1123,791,1163,1138,2889,478,2429,185,428,3015,541,989,337,192,4179,870,2176,2667,73711
