true_class / predicted_class,OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,64APSK,128APSK,16QAM,32QAM,64QAM,128QAM,256QAM,AM-SSB-WC,AM-SSB-SC,AM-DSB-WC,AM-DSB-SC,FM,GMSK,OQPSK
OOK,81779,3000,2639,788,446,388,497,2096,483,160,38,204,25,37,356,10,66,5039,1601,2560,172,2881,893,338
4ASK,5773,70193,9674,702,490,375,456,1967,431,168,81,234,37,44,324,7,54,6567,2213,2468,161,2821,791,465
8ASK,3878,8006,72614,721,457,384,450,1964,448,179,45,191,32,49,338,7,64,7532,2665,2579,167,2691,765,270
BPSK,621,71,1393,81738,865,740,764,3476,798,547,64,450,75,75,832,19,121,1308,682,4450,179,4257,2069,902
QPSK,592,66,1492,1840,69732,1845,1101,5599,1651,1434,223,953,150,278,965,144,461,1468,787,4453,165,4493,3879,2725
8PSK,567,64,1501,1839,2755,66357,1798,7356,1821,1363,223,1001,114,302,925,161,439,1375,747,4377,178,4602,3885,2746
16PSK,587,75,1482,1829,2733,5685,58246,11459,1789,1326,219,955,129,280,976,166,453,1384,761,4485,146,4623,3990,2718
32PSK,587,81,1495,1731,2816,5612,4449,65290,1781,1439,217,991,151,314,931,176,410,1365,760,4440,156,4540,4014,2750
16APSK,599,67,1496,1801,1791,1598,1022,5201,66754,2164,741,1443,535,885,1117,314,523,1480,724,4534,164,4679,3863,3001
32APSK,540,82,1382,1790,1185,789,941,4678,1516,68129,1132,3233,392,738,1274,257,839,1322,843,4451,184,4650,3292,2857
64APSK,599,71,1455,1760,1390,1113,945,4958,2947,3945,59389,4441,918,2071,1467,764,816,1376,774,4355,188,4460,3454,2840
128APSK,573,75,1477,1836,1288,1003,922,4716,2013,5122,3790,60989,725,1169,1535,735,1134,1336,782,4352,162,4503,3533,2726
16QAM,565,78,1443,1814,1464,1076,944,4852,3394,3471,1608,2517,61055,1364,1716,559,948,1274,747,4589,175,4487,3431,2925
32QAM,605,78,1470,1793,1356,1173,928,4776,3523,3679,3202,3079,1141,58401,1539,1315,841,1320,779,4453,166,4481,3502,2896
64QAM,586,64,1461,1842,1292,968,985,4690,2222,4223,1961,3855,1504,1504,54575,3125,4312,1326,707,4450,185,4486,3456,2717
128QAM,583,76,1481,1916,1394,1051,880,4724,2786,3863,3330,3699,1195,2811,2211,55052,1897,1294,741,4438,166,4553,3516,2839
256QAM,599,66,1482,1807,1339,938,943,4604,2119,4484,1514,3963,1352,1275,5959,6981,49562,1374,782,4443,182,4464,3458,2806
AM-SSB-WC,2069,1184,2965,682,443,362,464,1912,417,153,32,183,26,39,337,4,47,70084,18690,2446,161,2777,781,238
AM-SSB-SC,2086,1222,2979,668,427,386,433,2029,382,152,33,198,30,41,344,4,46,35275,53355,2443,175,2770,777,241
AM-DSB-WC,317,32,1089,936,528,390,481,2309,549,279,39,213,32,60,446,7,40,1124,481,87009,3772,4969,1006,388
AM-DSB-SC,271,36,1088,939,486,414,417,2324,572,329,45,222,28,51,464,11,43,1163,451,49026,41763,5048,942,363
FM,270,54,1090,881,453,410,498,2278,508,304,43,232,34,59,406,13,48,1244,515,4829,195,90780,946,406
GMSK,599,69,1501,1886,1026,775,924,4547,1016,851,117,745,91,164,877,45,235,1380,783,4528,198,4572,78222,1345
OQPSK,601,66,1442,1855,1442,1136,941,4771,1439,1931,258,960,136,245,986,156,447,1328,737,4481,151,4674,3286,73027
