true_class / predicted_class,OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,64APSK,128APSK,16QAM,32QAM,64QAM,128QAM,256QAM,AM-SSB-WC,AM-SSB-SC,AM-DSB-WC,AM-DSB-SC,FM,GMSK,OQPSK
OOK,76.79067758413461,2.8170072115384617,2.47802734375,0.7399338942307692,0.4187950721153846,0.3643329326923077,0.4666841947115385,1.9681490384615383,0.4535381610576923,0.15024038461538464,0.03568209134615384,0.19155649038461536,0.023475060096153848,0.034743088942307696,0.3342848557692307,0.00939002403846154,0.06197415865384615,4.731633112980769,1.5033428485576923,2.403846153846154,0.16150841346153846,2.705265925480769,0.8385291466346154,0.3173828125
4ASK,5.420860877403847,65.91139573317307,9.083909254807693,0.6591796875,0.4601111778846154,0.3521259014423077,0.4281850961538462,1.8470177283653848,0.4047100360576923,0.15775240384615385,0.07605919471153846,0.2197265625,0.034743088942307696,0.04131610576923077,0.30423677884615385,0.006573016826923077,0.05070612980769231,6.166428786057692,2.0780123197115383,2.3174579326923075,0.15117938701923078,2.64892578125,0.7427509014423077,0.4366361177884615
8ASK,3.6414513221153846,7.5176532451923075,68.18472055288461,0.6770207331730769,0.4291240985576923,0.3605769230769231,0.4225510817307692,1.844200721153846,0.4206730769230769,0.16808143028846154,0.04225510817307693,0.17934945913461536,0.030048076923076924,0.046011117788461536,0.3173828125,0.006573016826923077,0.06009615384615385,7.072566105769231,2.50244140625,2.421687199519231,0.1568134014423077,2.52685546875,0.7183368389423077,0.25353064903846156
BPSK,0.5831204927884615,0.06666917067307693,1.3080303485576923,76.75217848557693,0.812237079326923,0.6948617788461539,0.7173978365384615,3.2639723557692304,0.7493239182692308,0.5136343149038461,0.06009615384615385,0.4225510817307692,0.07042518028846154,0.07042518028846154,0.78125,0.01784104567307692,0.11361929086538462,1.2282151442307692,0.6403996394230769,4.178560697115385,0.16808143028846154,3.9973332331730766,1.9427959735576923,0.8469801682692308
QPSK,0.5558894230769231,0.06197415865384615,1.4009915865384617,1.7277644230769231,65.478515625,1.732459435096154,1.0338416466346154,5.257474459134615,1.55029296875,1.3465294471153846,0.2093975360576923,0.8948692908653846,0.14085036057692307,0.2610426682692307,0.9061373197115384,0.13521634615384615,0.4328801081730769,1.3784555288461537,0.7389948918269231,4.181377704326923,0.15493539663461536,4.218937800480769,3.6423903245192304,2.558781550480769
8PSK,0.5324143629807692,0.06009615384615385,1.409442608173077,1.7268254206730769,2.586951622596154,62.309382512019226,1.6883263221153848,6.9073016826923075,1.709923377403846,1.2798602764423077,0.2093975360576923,0.93994140625,0.10704627403846155,0.28357872596153844,0.8685772235576924,0.15117938701923078,0.4122220552884615,1.2911283052884617,0.7014347956730769,4.110013521634615,0.16714242788461536,4.3212890625,3.648024338942308,2.5785006009615383
16PSK,0.5511944110576923,0.07042518028846154,1.3916015625,1.7174353966346152,2.5662935697115383,5.338228665865385,54.69313401442307,10.760028545673077,1.6798753004807692,1.2451171875,0.2056415264423077,0.896747295673077,0.12113131009615385,0.2629206730769231,0.9164663461538461,0.15587439903846154,0.4253680889423077,1.299579326923077,0.7145808293269231,4.21142578125,0.13709435096153846,4.341008112980769,3.7466195913461537,2.552208533653846
32PSK,0.5511944110576923,0.07605919471153846,1.40380859375,1.6254131610576923,2.644230769230769,5.269681490384615,4.177621694711538,61.30746694711539,1.67236328125,1.3512244591346154,0.2037635216346154,0.9305513822115384,0.14178936298076922,0.2948467548076923,0.8742112379807692,0.16526442307692307,0.3849909855769231,1.28173828125,0.7136418269230769,4.169170673076923,0.146484375,4.263070913461538,3.7691556490384617,2.5822566105769234
16APSK,0.5624624399038461,0.06291316105769232,1.4047475961538463,1.6911433293269231,1.6817533052884617,1.5005258413461537,0.9596604567307692,4.883751502403847,62.68216646634615,2.0320012019230766,0.69580078125,1.35498046875,0.5023662860576923,0.8310171274038461,1.0488656850961537,0.2948467548076923,0.4910982572115385,1.3897235576923077,0.6798377403846154,4.257436899038462,0.15399639423076922,4.393592247596153,3.627366286057692,2.8179462139423075
32APSK,0.5070612980769231,0.07699819711538461,1.2977013221153846,1.6808143028846152,1.1127178485576923,0.7408728966346154,0.8836012620192308,4.392653245192308,1.4235276442307692,63.97329477163461,1.0629507211538463,3.0357947716346154,0.3680889423076923,0.6929837740384615,1.1962890625,0.24132361778846154,0.787823016826923,1.2413611778846154,0.7915790264423076,4.179499699519231,0.1727764423076923,4.366361177884615,3.0911959134615383,2.6827298677884617
64APSK,0.5624624399038461,0.06666917067307693,1.3662484975961537,1.6526442307692308,1.3052133413461537,1.0451096754807692,0.8873572716346154,4.655573918269231,2.7672400841346154,3.7043644831730766,55.766413762019226,4.170109675480769,0.8620042067307692,1.9446739783653848,1.3775165264423077,0.7173978365384615,0.7662259615384615,1.2920673076923077,0.7267878605769231,4.08935546875,0.17653245192307693,4.187950721153847,3.2433143028846154,2.6667668269230766
